timestamp,avg:boottime,var:boottime,avg:bytes_in,var:bytes_in,avg:bytes_out,var:bytes_out,avg:core_freq_avg,var:core_freq_avg,avg:core_freq_max,var:core_freq_max,avg:core_freq_median,var:core_freq_median,avg:core_freq_min,var:core_freq_min,avg:cpu_aidle,var:cpu_aidle,avg:cpu_idle,var:cpu_idle,avg:cpu_nice,var:cpu_nice,avg:cpu_num,var:cpu_num,avg:cpu_speed,var:cpu_speed,avg:cpu_steal,var:cpu_steal,avg:cpu_system,var:cpu_system,avg:cpu_user,var:cpu_user,avg:cpu_wio,var:cpu_wio,avg:disk_free,var:disk_free,avg:disk_total,var:disk_total,avg:load_fifteen,var:load_fifteen,avg:load_five,var:load_five,avg:load_one,var:load_one,avg:mem_buffers,var:mem_buffers,avg:mem_cached,var:mem_cached,avg:mem_free,var:mem_free,avg:mem_shared,var:mem_shared,avg:mem_total,var:mem_total,avg:part_max_used,var:part_max_used,avg:pkts_in,var:pkts_in,avg:pkts_out,var:pkts_out,avg:proc_run,var:proc_run,avg:proc_total,var:proc_total,avg:swap_free,var:swap_free,avg:swap_total,var:swap_total,gexec_0,machine_type_0,os_name_0,os_release_0,avg:Ambient_Temp,var:Ambient_Temp,avg:CMOS_Battery,var:CMOS_Battery,avg:CPU_1_DTS,var:CPU_1_DTS,avg:CPU_1_Temp,var:CPU_1_Temp,avg:CPU_2_DTS,var:CPU_2_DTS,avg:CPU_2_Temp,var:CPU_2_Temp,avg:CPU_Power,var:CPU_Power,avg:CPU_Utilization,var:CPU_Utilization,avg:DC_Energy,var:DC_Energy,avg:Exhaust_Temp,var:Exhaust_Temp,avg:Fan1A_Tach,var:Fan1A_Tach,avg:Fan1B_Tach,var:Fan1B_Tach,avg:Fan2A_Tach,var:Fan2A_Tach,avg:Fan2B_Tach,var:Fan2B_Tach,avg:Fan3A_Tach,var:Fan3A_Tach,avg:Fan3B_Tach,var:Fan3B_Tach,avg:Fan4A_Tach,var:Fan4A_Tach,avg:Fan4B_Tach,var:Fan4B_Tach,avg:Fan5A_Tach,var:Fan5A_Tach,avg:Fan5B_Tach,var:Fan5B_Tach,avg:IO_Utilization,var:IO_Utilization,avg:Mem_Power,var:Mem_Power,avg:Mem_Utilization,var:Mem_Utilization,avg:SysBrd_12V,var:SysBrd_12V,avg:SysBrd_3_3V,var:SysBrd_3_3V,avg:SysBrd_5V,var:SysBrd_5V,avg:Sys_Power,var:Sys_Power,avg:Sys_Utilization,var:Sys_Utilization,avg:System_Air_Flow,var:System_Air_Flow,CPU_1_Overtemp_0,CPU_1_Status_0,CPU_2_Overtemp_0,CPU_2_Status_0,DIMM_10__0,DIMM_11__0,DIMM_14__0,DIMM_15__0,DIMM_16__0,DIMM_1__0,DIMM_2__0,DIMM_3__0,DIMM_6__0,DIMM_7__0,DIMM_8__0,DIMM_9__0,DRIVE_0_0,DRIVE_4_0,DRIVE_5_0,Dongle_Cable_0,Drive_Mismatch_0,Low_Security_Jmp_0,M2_Temp_0,PCH_Overtemp_0,PCIe_1_Temp_0,PCIe_3_Temp_0,PCIe_5_Temp_0,PCIe_6_Temp_0,Phy_Presence_Jmp_0,Power_Supply_1_0,Power_Supply_2_0,SysBrd_Vol_Fault_0
2019-10-21 10:25:00+02:00,1556013803.0,0.0,652.6599999999999,97925.18490000001,2321.715,2425666.0770250005,2036.5333333333333,3569.5155555555552,2093.483333333333,252.11638888888885,2068.1833333333334,1911.616388888889,1732.4333333333334,69909.34555555554,40.7,0.0,55.343333333333334,1045.0234555555553,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,5.31,38.3269,39.335,833.4369416666667,0.0,0.0,88.76416666666667,1.3888888889021525e-07,99.89499999999998,2.0194839173657902e-28,40.2065,0.07045608333333316,40.36816666666667,0.5910216388888911,42.25483333333333,1.9772449722222234,24.0,0.0,259987.53333333333,251.78222222222223,154135982.4,1209308824488.1067,0.0,0.0,197538016.0,0.0,58.7,0.0,8.665,29.106024999999995,9.985,36.54202500000001,14.95,368.54749999999996,1534.95,2.9475,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,16.4,0.64,3.0420000000000003,0.0,-38.12,4.553599999999999,55.2,2.96,-44.56,6.006400000000002,48.0,2.0,140.0,1600.0,20.0,561.6,622.3245119011111,2.6259620663240448e-05,44.0,30.4,4736.0,838860.8,4147.2,429916.16,6502.4,690749.44,6220.8,665845.76,6451.2,816578.56,6220.8,665845.76,6476.8,849346.56,6220.8,665845.76,4915.2,554434.56,3763.2,384040.96,0.0,0.0,17.0,6.8,6.6,87.83999999999996,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,180.0,1240.0,11.6,250.24,14.4,3.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-21 10:30:00+02:00,1556013803.0,0.0,257.95,7149.207600000001,685.4766666666667,6634.869722222223,2017.2666666666667,5713.495555555555,2092.883333333333,468.4697222222222,2056.25,2095.054166666667,1698.05,56812.4475,40.7,0.0,56.82833333333333,844.509363888889,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,5.39,35.100566666666666,37.806666666666665,607.1469555555556,0.0,0.0,88.764,0.0,99.89499999999998,2.0194839173657902e-28,40.280499999999996,0.04466141666666662,40.263,0.4667510000000008,38.8085,7.123786083333334,24.0,0.0,260011.73333333334,404.19555555555553,154731340.26666668,1506118104442.596,0.0,0.0,197538016.0,0.0,58.7,0.0,2.8833333333333333,0.15982222222222217,3.350333333333333,0.3716865555555554,43.93333333333333,951.5955555555554,1544.35,384.69416666666666,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,15.8,0.56,3.0420000000000003,0.0,-38.4,3.5360000000000045,55.0,0.8,-45.0,5.9199999999999955,50.4,5.44,178.0,2416.0,22.4,498.24,622.3428010930555,2.758209604081241e-05,39.4,49.84,4787.2,921436.16,4147.2,547880.9599999998,5990.4,769392.6400000001,6246.4,710410.24,6016.0,910950.4,6144.0,904396.8,6092.8,711720.9599999998,6195.2,901775.36,4633.6,533463.04,4121.6,677642.24,0.0,0.0,18.0,9.2,16.6,174.64,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,230.0,3600.0,21.4,414.64,13.8,3.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-21 10:35:00+02:00,1556013803.0,0.0,631.4763333333333,123009.8286498889,1181.7226666666666,195068.7358595556,2019.1333333333334,10639.14888888889,2089.75,802.3541666666666,2047.6333333333334,11595.865555555556,1762.2666666666667,73041.99555555555,40.7,0.0,56.22833333333333,871.052363888889,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,5.178333333333334,35.171697222222214,38.586666666666666,655.0138222222222,0.0,0.0,88.764,0.0,99.895,0.0,40.12516666666667,0.06389163888888795,40.013999999999996,0.6050506666666654,40.377,6.971301000000001,24.0,0.0,260163.46666666667,1095.1822222222224,154351195.2,1494027422202.0266,0.0,0.0,197538016.0,0.0,58.7,0.0,10.849,40.646528999999994,3.682666666666668,0.5365262222222222,43.666666666666664,605.188888888889,1559.55,552.1141666666666,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,17.2,0.16,3.0420000000000003,0.0,-38.04,4.134399999999999,55.6,0.24,-44.44,4.9824000000000055,49.6,1.0399999999999998,154.0,1744.0,24.8,552.96,622.3613686647778,2.698745736957386e-05,46.0,144.4,4710.4,212336.64,3840.0,242483.2,6400.0,367001.6,6272.0,543948.8,6400.0,412876.8,6323.2,508559.36,6451.2,528220.16,6400.0,530841.6,4505.6,159907.83999999997,3891.2,292290.56,0.0,0.0,17.4,11.44,15.2,154.96000000000004,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,204.0,2944.0,25.0,423.6,15.2,9.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-21 10:40:00+02:00,1556013803.0,0.0,866.4151666666668,633.5536383055551,1487.2920000000001,577.8085760000013,2018.9166666666667,11036.90972222222,2090.2166666666667,755.2030555555556,2031.3166666666666,24909.349722222218,1637.4833333333333,43459.54972222222,40.7,0.0,49.42,728.3815999999999,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,6.148333333333333,34.20483055555556,44.41166666666667,610.1426972222223,0.0,0.0,88.764,0.0,99.89500000000001,2.0194839173657902e-28,40.38633333333334,0.00855988888888895,40.60716666666666,0.08061363888888883,40.69616666666666,1.8796636388888897,24.0,0.0,260193.0,59.0,154550632.0,1249689556074.6667,0.0,0.0,197538016.0,0.0,58.7,0.0,15.009333333333334,0.29652622222222175,3.641833333333334,0.22241830555555567,23.516666666666666,445.6830555555556,1531.95,5.0808333333333335,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,16.2,1.36,3.0420000000000003,0.0,-38.36,4.086400000000002,56.6,3.44,-45.12,4.361599999999997,49.4,2.64,168.0,3496.0,42.4,433.84,622.3796379747778,2.7842860756776086e-05,40.0,10.0,4889.6,533463.04,4044.8,351272.96,6553.6,1057751.04,6400.0,1087897.6,6579.2,1131151.36,6348.8,1059061.76,6579.2,1085276.16,6476.8,895221.76,4838.4,454819.84,3993.6,363069.44,0.0,0.0,16.6,3.439999999999999,18.6,271.84,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,234.0,4624.0,24.8,412.56,15.2,9.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-21 10:45:00+02:00,1556013803.0,0.0,1145.2093333333335,55439.604932888855,1286.3,20599.646399999972,1991.6,14629.040000000003,2083.9666666666667,932.7655555555556,1979.5833333333333,40915.00972222222,1674.7333333333333,56074.42888888889,40.7,0.0,58.51,789.6292333333332,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,4.656666666666666,30.45745555555555,36.81,571.2829,0.0,0.0,88.764,0.0,99.895,0.0,40.49416666666666,0.020940972222221882,40.66683333333333,0.24658497222222175,40.18566666666667,5.3746978888888925,24.0,0.0,260515.26666666666,102032.26222222224,154430046.66666666,1486282127644.0889,0.0,0.0,197538016.0,0.0,58.7,0.0,19.3715,14.271482750000002,6.951499999999999,8.425112750000002,24.983333333333334,447.1830555555556,1548.05,541.8474999999999,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,16.6,0.24,3.0420000000000003,0.0,-39.04,0.8384000000000034,56.6,8.640000000000002,-46.56,2.4063999999999997,49.6,8.240000000000002,170.0,2680.0,33.8,700.1600000000001,622.3983726741667,3.209599947007805e-05,49.8,85.35999999999999,5273.6,422051.84,4147.2,502005.76,6988.8,659292.16,6425.6,690749.44,6988.8,659292.16,6732.8,534773.76,7091.2,796917.76,6732.8,593756.16,5171.2,285736.96,4352.0,281804.8,0.0,0.0,18.6,17.039999999999996,15.4,167.04,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,220.0,4120.0,26.4,495.04,14.4,4.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-21 10:50:00+02:00,1556013803.0,0.0,1016.8248333333332,61299.23032163887,1374.0130000000004,25082.408890999995,2039.4833333333333,2691.7830555555556,2091.2,271.5933333333333,2072.866666666667,690.0155555555556,1766.5166666666667,73124.24972222222,40.7,0.0,58.343333333333334,965.0441222222223,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,4.91,34.34923333333334,36.736666666666665,724.4306555555554,0.0,0.0,88.764,0.0,99.89499999999998,2.0194839173657902e-28,40.62666666666666,0.01910222222222214,40.86783333333334,0.18839697222222176,40.964166666666664,4.761137638888888,24.0,0.0,260952.33333333334,6.555555555555556,154279218.93333334,1396216097053.7954,0.0,0.0,197538016.0,0.0,58.7,0.0,17.145333333333333,16.83883155555556,6.6191666666666675,4.269774305555556,33.9,463.88999999999993,1530.7166666666667,0.9030555555555554,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,17.0,0.0,3.0420000000000003,0.0,-37.04,3.8943999999999983,56.6,3.439999999999999,-43.76,5.8464000000000045,50.4,4.64,132.0,376.0,23.6,430.64,622.4166656246667,2.5677054589627457e-05,42.6,35.04,4531.2,377487.36,3788.8,364380.16,6553.6,1077411.84,6067.2,423362.56,6604.8,1091829.76,6118.4,408944.64,6630.4,1070858.24,6169.6,330301.44,4736.0,976486.4,3814.4,382730.24000000005,0.0,0.0,17.0,5.2,14.0,124.4,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,176.0,504.0,23.0,332.8,15.0,7.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-21 10:55:00+02:00,1556013803.0,0.0,401.5713333333334,109679.46741822221,933.4583333333334,198733.46503055558,2027.9166666666667,4927.643055555555,2099.116666666667,4.203055555555556,2065.25,1132.5875,1731.8333333333333,76012.07222222221,40.7,0.0,56.376666666666665,921.4391222222221,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,5.126666666666667,33.72995555555556,38.47666666666667,721.0671222222221,0.0,0.0,88.764,0.0,99.89500000000001,2.0194839173657902e-28,40.43166666666667,0.0223238888888888,40.24400000000001,0.21181400000000017,39.7445,5.1163514166666655,24.0,0.0,261105.6,11096.639999999998,154615455.2,1607493531480.96,0.0,0.0,197538016.0,0.0,58.7,0.0,6.670333333333334,32.580913222222215,3.300333333333334,1.7747132222222224,13.266666666666667,413.7955555555556,1533.55,2.1475000000000004,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,15.2,0.16000000000000003,3.0420000000000003,0.0,-38.48,2.3136000000000014,54.8,0.56,-45.52,2.729600000000001,49.0,6.8,182.0,2616.0,30.8,690.5600000000001,622.434779551,2.7020631238158348e-05,44.6,66.64,4736.0,537395.2,3993.6,356515.84,6374.4,690749.44,6144.0,563609.6,6400.0,727449.6,6144.0,563609.6,6400.0,727449.6,6169.6,592445.44,4761.6,369623.04,3993.6,356515.84,0.0,0.0,20.2,18.160000000000004,15.6,153.83999999999997,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,220.0,2520.0,23.8,357.76,14.2,11.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-21 11:00:00+02:00,1556013803.0,0.0,785.5733333333334,240941.22848888885,1666.5380000000002,680996.137316,2023.2833333333333,4196.536388888889,2084.383333333333,941.2363888888891,2052.233333333333,2140.9122222222227,1711.0166666666667,64198.349722222214,40.7,0.0,51.19833333333333,836.3681638888887,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,5.713333333333333,35.33748888888889,43.06,707.1647333333333,0.0,0.0,88.764,0.0,99.89500000000001,2.0194839173657902e-28,40.48166666666667,0.03052722222222219,40.4265,0.29495608333333384,40.02033333333332,6.181296555555559,24.0,0.0,261195.13333333333,10.715555555555556,154344894.13333333,1334664723482.382,0.0,0.0,197538016.0,0.0,58.7,0.0,9.826999999999998,33.943481,10.375666666666667,38.22584455555556,13.3,286.11000000000007,1531.6166666666666,5.836388888888888,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,16.6,0.24,3.0420000000000003,0.0,-37.96,3.926399999999998,55.2,1.36,-44.52,5.385600000000003,49.0,4.8,140.0,1240.0,32.0,743.6,622.4530583582776,2.8027821837035238e-05,45.6,27.04,4556.8,397148.16,3737.6,395837.44,6374.4,1346109.44,6016.0,334233.6,6374.4,1346109.44,5939.2,482344.9599999999,6374.4,1346109.44,6041.6,369623.04,4787.2,869007.36,3763.2,436469.76,0.0,0.0,15.4,1.04,11.2,86.96,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,216.0,2024.0,21.8,260.56,14.8,2.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-21 11:05:00+02:00,1556013803.0,0.0,1028.6905000000002,10565.209464749996,1411.9406666666669,484122.0726128888,2033.6,3237.3733333333334,2090.7833333333333,198.4697222222222,2062.266666666667,1836.3955555555558,1752.3833333333334,70312.26972222222,40.7,0.0,57.75333333333333,1026.3491555555556,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,4.858333333333333,37.658430555555555,37.36333333333334,812.2959888888889,0.0,0.0,88.764,0.0,99.895,0.0,40.3695,0.015621416666666606,40.23533333333334,0.15906155555555523,40.34633333333334,3.7955432222222227,24.0,0.0,261261.8,1152.76,154619531.46666667,1555594150469.0488,0.0,0.0,197538016.0,0.0,58.7,0.0,15.672166666666666,1.2396469722222234,7.938999999999999,31.698899,6.6,237.44,1532.95,5.5475,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,15.933333333333334,0.8622222222222223,3.0420000000000003,0.0,-41.76,7.494400000000001,52.8,6.96,-47.32,3.881599999999994,46.733333333333334,4.062222222222222,176.66666666666666,1955.5555555555554,39.2,744.56,622.471891878074,2.973762788659591e-05,33.6,34.24,6109.866666666667,5499489.848888888,5307.733333333334,3490592.9955555554,8174.933333333333,7164978.062222224,7910.4,6700400.64,8192.0,7294156.8,7449.6,4609802.24,8234.666666666666,7203862.755555556,7168.0,5229772.8,5725.866666666667,3450397.5822222224,4684.8,2900623.36,0.0,0.0,18.866666666666667,18.115555555555556,16.933333333333334,145.9288888888889,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,240.66666666666666,4419.555555555556,28.866666666666667,417.58222222222224,16.133333333333333,53.182222222222215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-10-21 11:10:00+02:00,1556013803.0,0.0,668.7085000000001,49513.77309274999,1873.7753333333333,814968.1709915553,2015.75,5304.554166666667,2095.8166666666666,124.01638888888891,2068.3,894.01,1678.2666666666667,58088.52888888888,40.7,0.0,45.42166666666667,728.2266972222225,0.0,0.0,48.0,0.0,3700.0,0.0,0.0,0.0,6.5633333333333335,38.01265555555556,47.99,610.8792333333333,0.0,0.0,88.764,0.0,99.895,0.0,40.377833333333335,0.04945363888888887,40.2455,0.3998847499999987,39.72966666666667,4.0268098888888915,24.0,0.0,262251.4,426549.24,154348942.13333333,1314685779260.5159,0.0,0.0,197538016.0,0.0,58.7,0.0,11.172,18.352285999999996,7.054833333333333,8.30834163888889,14.316666666666666,448.5497222222223,1531.35,0.5941666666666666,16383996.0,0.0,16383996.0,0.0,1.0,1.0,1.0,1.0,15.4,0.24000000000000005,3.0420000000000003,0.0,-39.56,5.494399999999993,55.8,2.96,-45.96,5.686400000000002,49.0,2.8,182.0,3216.0,31.6,700.24,622.4899673907778,2.6792509635831193e-05,45.4,58.24,4761.6,966000.6399999998,3353.6,441712.63999999996,5964.8,423362.56,5785.6,461373.44,6272.0,596377.6,5785.6,474480.6400000001,5964.8,456130.56,5811.2,508559.3600000001,3968.0,504627.2,3276.8,508559.36,0.0,0.0,18.6,12.24,16.6,111.04,12.096,0.0,3.3325000000000005,0.0,5.06,7.888609052210118e-31,214.0,4864.0,26.2,360.16,13.8,13.359999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
